Species,Test AUC,wc2.1_30s_bio_1_fc,wc2.1_30s_bio_2_fc,wc2.1_30s_bio_3_fc,wc2.1_30s_bio_4_fc,wc2.1_30s_bio_5_fc,wc2.1_30s_bio_6_fc,wc2.1_30s_bio_7_fc,wc2.1_30s_bio_8_fc,wc2.1_30s_bio_9_fc,wc2.1_30s_bio_10_fc,wc2.1_30s_bio_11_fc,wc2.1_30s_bio_12_fc,wc2.1_30s_bio_13_fc,wc2.1_30s_bio_14_fc,wc2.1_30s_bio_15_fc,wc2.1_30s_bio_16_fc,wc2.1_30s_bio_17_fc,wc2.1_30s_bio_18_fc,wc2.1_30s_bio_19_fc,wc2.1_30s_bio_20_fc
Ancistrocladus_heyneanus,0.917,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,83.5,0.0,0.0,2.8,12.1,0.0
Antiaris_toxicaria,0.967,0.0,0.0,0.7,0.4,0.0,0.0,0.9,2.7,0.8,0.0,0.0,26.9,0.0,17.3,1.0,0.6,0.0,0.5,31.3,17.0
Antidesma_montanum,0.947,0.0,3.2,16.1,7.1,0.0,1.4,2.2,0.9,2.0,6.6,1.6,23.6,0.3,6.4,0.1,0.1,0.2,1.8,24.6,1.9
Aphanamixis_polystachya,0.92,0.0,7.2,5.4,0.5,0.0,5.2,13.4,6.5,0.0,13.7,6.8,12.6,0.4,0.1,0.3,0.0,0.1,0.1,10.9,16.7
Aphananthe_cuspidata,0.861,0.0,10.0,0.0,40.7,0.0,0.2,0.0,10.1,0.0,4.2,0.0,12.2,0.0,0.0,0.0,0.1,0.0,3.0,10.0,9.5
Apodytes_dimidiata,0.918,0.0,8.6,0.0,10.4,0.0,0.0,48.2,8.9,1.8,0.0,0.0,3.1,0.0,0.5,0.0,0.0,0.0,0.5,16.0,2.0
Aporosa_acuminata,0.991,0.0,0.1,8.2,0.0,0.7,0.4,5.2,0.0,1.5,0.0,0.3,6.7,0.0,35.1,0.0,0.0,28.9,0.0,0.3,12.6
Aporosa_bourdillonii,0.993,0.0,0.1,24.3,0.0,0.0,38.2,6.4,0.0,4.4,0.0,0.0,0.0,0.9,4.2,0.0,0.0,0.0,6.6,0.0,14.9
Aporosa_cardiosperma,0.94,0.0,0.0,14.9,0.2,0.2,2.2,0.3,0.0,0.0,0.3,0.9,16.3,6.8,20.5,1.6,7.6,1.3,19.4,3.2,4.3
Archidendron_bigeminum,0.953,0.3,2.4,11.7,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1.2,7.3,2.1,2.8,0.6,0.0,1.3,0.4,42.1,22.5
